"ProductID","ShipToID","VolumeInKG"
"102381 - AU","6027","10.4"
"102381 - AU","6027","2.6"
"102381 - AU","6028","1.3"
"102381 - AU","6031","9.1"
"102381 - AU","6037","2.6"
"102381 - AU","6038","1.3"
"102381 - AU","6038","1.3"
"102381 - AU","6048","6.5"
"102381 - AU","6049","1.3"
"102381 - AU","6049","6.5"
"102381 - AU","6701","1.3"
"102381 - AU","6701","1.3"
"102381 - AU","6702","5.2"
"102381 - AU","6705","3.9"
"102381 - AU","2001","3.9"
"102381 - AU","2002","5.2"
"102381 - AU","2003","11.7"
"102381 - AU","2004","2.6"
"102381 - AU","2005","6.5"
"102381 - AU","2006","3.9"
"102381 - AU","2007","3.9"
"102381 - AU","2008","11.7"
"102381 - AU","2009","11.7"
"102381 - AU","2010","3.9"
"102381 - AU","2011","5.2"
"102381 - AU","2012","9.1"
"102381 - AU","2013","6.5"
"102381 - AU","2016","9.1"
"102381 - AU","2017","9.1"
"102381 - AU","2018","13"
"102381 - AU","2020","15.6"
"102381 - AU","2024","9.1"
"102381 - AU","2025","9.1"
"102381 - AU","2026","1.3"
"102381 - AU","2027","1.3"
"102381 - AU","2029","6.5"
"102381 - AU","2030","7.8"
"102381 - AU","2031","14.3"
"102381 - AU","2033","9.1"
"102381 - AU","2034","3.9"
"102381 - AU","2035","5.2"
"102381 - AU","2036","5.2"
"102381 - AU","2037","10.4"
"102381 - AU","2039","6.5"
"102381 - AU","2040","1.3"
"102381 - AU","2041","3.9"
"102381 - AU","2042","6.5"
"102381 - AU","2043","10.4"
"102381 - AU","2044","20.8"
"102381 - AU","2045","1.3"
"102381 - AU","2046","5.2"
"102381 - AU","2047","2.6"
"102381 - AU","2048","6.5"
"102381 - AU","2049","2.6"
"102381 - AU","2050","3.9"
"102381 - AU","2052","2.6"
"102381 - AU","2053","9.1"
"102381 - AU","2054","6.5"
"102381 - AU","2056","3.9"
"102381 - AU","2058","2.6"
"102381 - AU","2061","7.8"
"102381 - AU","2062","13"
"102381 - AU","2063","3.9"
"102381 - AU","2064","1.3"
"102381 - AU","2065","2.6"
"102381 - AU","2067","5.2"
"102381 - AU","2068","3.9"
"102381 - AU","2074","2.6"
"102381 - AU","2075","3.9"
"102381 - AU","2076","3.9"
"102381 - AU","2077","2.6"
"102381 - AU","2078","24.7"
"102381 - AU","2079","10.4"
"102381 - AU","2081","6.5"
"102381 - AU","2082","3.9"
"102381 - AU","2083","2.6"
"102381 - AU","2094","2.6"
"102381 - AU","2095","1.3"
"102381 - AU","2096","7.8"
"102381 - AU","2098","13"
"102381 - AU","2099","2.6"
"102381 - AU","2100","6.5"
"102381 - AU","2114","5.2"
"102381 - AU","2116","5.2"
"102381 - AU","2125","2.6"
"102381 - AU","2134","2.6"
"102381 - AU","2138","18.2"
"102381 - AU","2141","6.5"
"102381 - AU","2147","6.5"
"102381 - AU","2149","2.6"
"102381 - AU","2150","5.2"
"102381 - AU","2154","3.9"
"102381 - AU","2155","10.4"
"102381 - AU","2159","5.2"
"102381 - AU","2160","11.7"
"102381 - AU","2161","3.9"
"102381 - AU","2162","3.9"
"102381 - AU","2168","1.3"
"102381 - AU","2169","2.6"
"102381 - AU","2172","9.1"
"102381 - AU","2175","2.6"
"102381 - AU","2194","5.2"
"102381 - AU","2205","2.6"
"102381 - AU","2206","1.3"
"102381 - AU","2217","3.9"
"102381 - AU","2710","20.8"
"102381 - AU","2713","7.8"
"102381 - AU","2715","16.9"
"102381 - AU","3001","5.2"
"102381 - AU","3003","2.6"
"102381 - AU","3004","3.9"
"102381 - AU","3005","1.3"
"102381 - AU","3006","2.6"
"102381 - AU","3009","2.6"
"102381 - AU","3010","3.9"
"102381 - AU","3011","9.1"
"102381 - AU","3012","2.6"
"102381 - AU","3014","6.5"
"102381 - AU","3017","6.5"
"102381 - AU","3018","3.9"
"102381 - AU","3019","7.8"
"102381 - AU","3022","7.8"
"102381 - AU","3023","3.9"
"102381 - AU","3024","2.6"
"102381 - AU","3025","16.9"
"102381 - AU","3026","10.4"
"102381 - AU","3027","26"
"102381 - AU","3029","2.6"
"102381 - AU","3031","16.9"
"102381 - AU","3032","3.9"
"102381 - AU","3033","11.7"
"102381 - AU","3034","7.8"
"102381 - AU","3035","1.3"
"102381 - AU","3036","1.3"
"102381 - AU","3037","2.6"
"102381 - AU","3039","5.2"
"102381 - AU","3040","2.6"
"102381 - AU","3042","2.6"
"102381 - AU","3044","6.5"
"102381 - AU","3045","7.8"
"102381 - AU","3046","18.2"
"102381 - AU","3047","2.6"
"102381 - AU","3048","2.6"
"102381 - AU","3050","2.6"
"102381 - AU","3051","5.2"
"102381 - AU","3052","6.5"
"102381 - AU","3053","2.6"
"102381 - AU","3055","7.8"
"102381 - AU","3058","5.2"
"102381 - AU","3059","7.8"
"102381 - AU","3061","1.3"
"102381 - AU","3065","2.6"
"102381 - AU","3066","5.2"
"102381 - AU","3068","2.6"
"102381 - AU","3073","11.7"
"102381 - AU","3074","10.4"
"102381 - AU","3075","3.9"
"102381 - AU","3078","1.3"
"102381 - AU","3079","6.5"
"102381 - AU","3081","3.9"
"102381 - AU","3085","6.5"
"102381 - AU","3086","2.6"
"102381 - AU","3097","13"
"102381 - AU","3098","1.3"
"102381 - AU","3099","3.9"
"102381 - AU","3100","3.9"
"102381 - AU","3101","3.9"
"102381 - AU","3103","5.2"
"102381 - AU","3108","7.8"
"102381 - AU","3110","4.55"
"102381 - AU","3111","5.2"
"102381 - AU","3112","13"
"102381 - AU","3114","2.6"
"102381 - AU","3118","3.9"
"102381 - AU","3119","6.5"
"102381 - AU","3120","2.6"
"102381 - AU","3121","1.3"
"102381 - AU","3122","5.2"
"102381 - AU","3125","2.6"
"102381 - AU","3126","5.85"
"102381 - AU","3127","1.3"
"102381 - AU","3131","5.2"
"102381 - AU","3133","3.9"
"102381 - AU","3135","1.3"
"102381 - AU","3141","5.2"
"102381 - AU","3148","5.2"
"102381 - AU","3150","5.2"
"102381 - AU","3151","1.3"
"102381 - AU","3153","1.3"
"102381 - AU","3155","5.2"
"102381 - AU","3158","5.2"
"102381 - AU","3168","1.3"
"102381 - AU","3176","2.6"
"102381 - AU","3179","6.5"
"102381 - AU","3180","2.6"
"102381 - AU","3709","3.9"
"102381 - AU","3720","2.6"
"102381 - AU","5003","2.6"
"102381 - AU","5005","9.1"
"102381 - AU","5006","11.7"
"102381 - AU","5007","2.6"
"102381 - AU","5011","1.3"
"102381 - AU","5014","5.2"
"102381 - AU","5016","3.9"
"102381 - AU","5017","3.9"
"102381 - AU","5018","2.6"
"102381 - AU","5019","1.3"
"102381 - AU","5021","4.55"
"102381 - AU","5023","3.9"
"102381 - AU","5024","4.55"
"102381 - AU","5026","1.3"
"102381 - AU","5028","2.6"
"102381 - AU","5029","1.3"
"102381 - AU","5037","15.6"
"102381 - AU","5041","7.8"
"102381 - AU","5042","2.6"
"102381 - AU","5052","7.8"
"102381 - AU","5702","1.3"
"102381 - AU","5703","10.4"
"102381 - AU","6002","2.6"
"102381 - AU","6038","2.6"
"102381 - AU","7003","2.6"
"102381 - AU","7004","3.9"
"102381 - AU","7009","2.6"
"102381 - AU","7010","2.6"
"102381 - AU","7015","1.3"
"102381 - AU","7703","6.5"
"102381 - AU","7704","1.3"
"102381 - AU","8003","6.5"
"102386 - AU","6017","2.04"
"102386 - AU","6018","2.04"
"102386 - AU","4005","0.51"
"102386 - AU","4022","0.51"
"102386 - AU","4026","33.66"
"102386 - AU","4027","11.22"
"102386 - AU","4034","7.14"
"102386 - AU","4050","1.02"
"102386 - AU","4087","3.06"
"102386 - AU","4098","12.24"
"102386 - AU","4147","4.08"
"102386 - AU","4701","0.51"
"102386 - AU","4710","28.56"
"102386 - AU","2001","2.04"
"102386 - AU","2002","4.08"
"102386 - AU","2005","15.3"
"102386 - AU","2006","4.08"
"102386 - AU","2007","1.02"
"102386 - AU","2008","7.14"
"102386 - AU","2009","10.2"
"102386 - AU","2010","5.1"
"102386 - AU","2011","3.06"
"102386 - AU","2012","1.02"
"102386 - AU","2013","4.08"
"102386 - AU","2014","16.32"
"102386 - AU","2015","5.1"
"102386 - AU","2016","19.38"
"102386 - AU","2017","67.32"
"102386 - AU","2018","5.1"
"102386 - AU","2020","51"
"102386 - AU","2024","6.12"
"102386 - AU","2025","10.2"
"102386 - AU","2026","1.02"
"102386 - AU","2027","1.02"
"102386 - AU","2029","5.1"
"102386 - AU","2030","4.08"
"102386 - AU","2031","15.3"
"102386 - AU","2033","23.46"
"102386 - AU","2034","7.14"
"102386 - AU","2035","15.3"
"102386 - AU","2036","2.04"
"102386 - AU","2039","11.22"
"102386 - AU","2040","16.32"
"102386 - AU","2041","27.54"
"102386 - AU","2042","15.3"
"102386 - AU","2043","4.08"
"102386 - AU","2044","13.26"
"102386 - AU","2045","1.02"
"102386 - AU","2046","10.2"
"102386 - AU","2047","1.02"
"102386 - AU","2048","4.08"
"102386 - AU","2049","36.72"
"102386 - AU","2050","9.18"
"102386 - AU","2052","2.04"
"102386 - AU","2053","13.26"
"102386 - AU","2054","15.3"
"102386 - AU","2055","28.56"
"102386 - AU","2056","6.12"
"102386 - AU","2057","4.08"
"102386 - AU","2058","3.06"
"102386 - AU","2061","6.12"
"102386 - AU","2062","7.14"
"102386 - AU","2063","8.16"
"102386 - AU","2064","15.3"
"102386 - AU","2065","4.08"
"102386 - AU","2066","8.16"
"102386 - AU","2067","12.24"
"102386 - AU","2068","13.26"
"102386 - AU","2075","6.12"
"102386 - AU","2076","17.34"
"102386 - AU","2077","8.16"
"102386 - AU","2078","9.18"
"102386 - AU","2081","2.04"
"102386 - AU","2082","2.04"
"102386 - AU","2083","2.04"
"102386 - AU","2085","21.42"
"102386 - AU","2087","10.2"
"102386 - AU","2088","2.04"
"102386 - AU","2093","7.14"
"102386 - AU","2095","2.04"
"102386 - AU","2096","3.06"
"102386 - AU","2097","20.4"
"102386 - AU","2098","19.38"
"102386 - AU","2099","10.2"
"102386 - AU","2100","2.04"
"102386 - AU","2105","4.08"
"102386 - AU","2114","2.04"
"102386 - AU","2116","14.28"
"102386 - AU","2122","3.06"
"102386 - AU","2125","3.06"
"102386 - AU","2134","2.04"
"102386 - AU","2138","9.18"
"102386 - AU","2147","3.06"
"102386 - AU","2149","6.12"
"102386 - AU","2150","40.8"
"102386 - AU","2154","9.18"
"102386 - AU","2155","1.02"
"102386 - AU","2159","4.08"
"102386 - AU","2160","26.52"
"102386 - AU","2161","5.1"
"102386 - AU","2162","22.44"
"102386 - AU","2163","3.06"
"102386 - AU","2164","4.08"
"102386 - AU","2169","3.06"
"102386 - AU","2172","1.02"
"102386 - AU","2175","4.08"
"102386 - AU","2194","3.06"
"102386 - AU","2199","1.02"
"102386 - AU","2713","3.06"
"102386 - AU","2715","15.3"
"102386 - AU","3003","3.06"
"102386 - AU","3005","3.06"
"102386 - AU","3006","7.14"
"102386 - AU","3007","2.04"
"102386 - AU","3009","3.06"
"102386 - AU","3011","2.04"
"102386 - AU","3014","4.08"
"102386 - AU","3017","5.1"
"102386 - AU","3018","5.1"
"102386 - AU","3022","2.04"
"102386 - AU","3023","1.02"
"102386 - AU","3024","4.08"
"102386 - AU","3027","12.24"
"102386 - AU","3028","3.06"
"102386 - AU","3030","10.2"
"102386 - AU","3031","1.02"
"102386 - AU","3033","4.08"
"102386 - AU","3034","4.08"
"102386 - AU","3035","2.04"
"102386 - AU","3036","6.12"
"102386 - AU","3037","1.02"
